gene_id,log2fc,pvalue,qvalue,evidence
WBGene00000001,-0.08850190773333466,0.06399039174121016,0.08913351911563255,False
WBGene00000036,0.14253841844222315,0.0014496292145362744,0.002735870963645199,False
WBGene00000038,0.012497886540001168,0.8537352692090348,0.8714522138359407,False
WBGene00000068,0.16199496069110708,0.00988220435059881,0.015775445890306824,False
WBGene00000069,0.08504792322888921,0.021289169087843722,0.03215849533998658,False
WBGene00000071,0.1002401953155534,0.20420204360797498,0.2526839753450885,False
WBGene00000090,0.052835368108889114,0.1555874997011133,0.19781480172015536,False
WBGene00000108,3.8473888043133337,7.061870464197902e-20,5.557692055323748e-17,True
WBGene00000109,0.094702052933334,0.41547162397762977,0.4684472321925424,False
WBGene00000111,-0.07481628248444494,0.13538454448108786,0.17495506815536313,False
WBGene00000123,-0.029316091911111286,0.5534116070042951,0.6057509523120727,False
WBGene00000138,-0.15445872901777769,0.04012818503928433,0.0578404425383091,False
WBGene00000181,0.17308360537110978,0.0006667989799181896,0.0013285336637863677,False
WBGene00000196,0.08807688112444545,0.06751939007748041,0.09355239435031176,False
WBGene00000198,-0.09782083691110977,0.030707194339227414,0.04568348193756517,False
WBGene00000206,0.0459929506888912,0.3394125023531908,0.3930700522958063,False
WBGene00000211,-0.6658683395688882,8.120611909175797e-08,3.5505119847340846e-07,True
WBGene00000212,1.0441298558222218,4.945143338278561e-14,1.6920990466196641e-12,True
WBGene00000216,0.06182296420000277,0.07651543043999579,0.10418277466483855,False
WBGene00000240,-0.18861054116444365,0.004372019706450342,0.007512619015232356,False
WBGene00000253,-0.33302904017555335,5.979235197182021e-07,2.132790872462062e-06,False
WBGene00000269,-0.3365844343444433,7.762074632461389e-06,2.2294718013675595e-05,False
WBGene00000279,-0.47842366205777687,2.9882296233354185e-07,1.170018265455211e-06,False
WBGene00000280,0.4051418352755549,1.8680238788273872e-06,6.076728552286146e-06,False
WBGene00000281,-0.7227304620377772,1.0289106591006783e-11,1.3060527237294096e-10,True
WBGene00000283,-1.2367272585466669,6.816933377259338e-11,6.80275651074369e-10,True
WBGene00000284,-0.10012437532444451,0.22684881227011805,0.2776516566976406,False
WBGene00000298,-0.5853242796955538,2.1056994339425084e-05,5.4873690546779936e-05,True
WBGene00000391,-0.8993911574911095,5.254969618336528e-06,1.5845444787857653e-05,True
WBGene00000392,0.0006623281333340003,0.9931000579156197,0.9943635439943929,False
WBGene00000481,-0.11986892116888725,0.1372357796214451,0.17676687162369442,False
WBGene00000497,-0.48359810471555775,5.3391453380809766e-09,2.9590897049786823e-08,False
WBGene00000509,-0.4117097603333342,2.8847484453407657e-10,2.5508955353743625e-09,False
WBGene00000511,0.238899173306665,4.37816469938548e-06,1.3459436009438956e-05,False
WBGene00000512,0.00951037074888994,0.909996419163014,0.9169874287852651,False
WBGene00000513,-0.05637236850222127,0.3822230439433337,0.4334431348464029,False
WBGene00000514,0.009089171026669618,0.8414223934830253,0.8622388329051314,False
WBGene00000536,0.19620518982222102,0.00893125568851859,0.014403479973082235,False
WBGene00000761,0.3599113419333335,1.4015834016705885e-07,5.836222947697106e-07,False
WBGene00000765,0.16344043986666534,0.030895446458240664,0.04587682332572718,False
WBGene00000766,-0.1220271882222228,0.01743479375146619,0.02669490794242002,False
WBGene00000775,-0.03500253008666654,0.5683039333087855,0.6203262073703386,False
